# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_rpy.bag'
# timestamp tx ty tz qx qy qz qw
1305031225.9334 1.3357 0.6698 1.6180 0.6504 0.6012 -0.3056 -0.3496
1305031225.9434 1.3352 0.6704 1.6175 0.6509 0.5999 -0.3026 -0.3535
1305031225.9533 1.3356 0.6711 1.6174 0.6527 0.5997 -0.2962 -0.3557
1305031225.9634 1.3355 0.6719 1.6172 0.6541 0.5988 -0.2910 -0.3590
1305031225.9734 1.3352 0.6724 1.6169 0.6545 0.5976 -0.2871 -0.3634
1305031225.9834 1.3352 0.6729 1.6169 0.6555 0.5964 -0.2819 -0.3675
1305031225.9934 1.3351 0.6735 1.6168 0.6566 0.5948 -0.2771 -0.3720
1305031226.0035 1.3354 0.6744 1.6168 0.6575 0.5939 -0.2716 -0.3758
1305031226.0134 1.3354 0.6752 1.6167 0.6589 0.5925 -0.2658 -0.3796
1305031226.0234 1.3353 0.6759 1.6166 0.6597 0.5906 -0.2611 -0.3844
1305031226.0333 1.3353 0.6765 1.6165 0.6608 0.5893 -0.2555 -0.3883
1305031226.0434 1.3352 0.6774 1.6164 0.6619 0.5878 -0.2504 -0.3920
1305031226.0534 1.3353 0.6781 1.6162 0.6634 0.5861 -0.2448 -0.3955
1305031226.0634 1.3353 0.6789 1.6163 0.6645 0.5849 -0.2397 -0.3986
1305031226.0734 1.3355 0.6796 1.6162 0.6660 0.5836 -0.2346 -0.4011
1305031226.0834 1.3354 0.6803 1.6160 0.6665 0.5822 -0.2304 -0.4046
1305031226.0933 1.3355 0.6810 1.6159 0.6675 0.5801 -0.2260 -0.4086
1305031226.1034 1.3356 0.6816 1.6161 0.6682 0.5784 -0.2211 -0.4125
1305031226.1134 1.3356 0.6823 1.6161 0.6686 0.5762 -0.2168 -0.4170
1305031226.1234 1.3358 0.6829 1.6162 0.6692 0.5746 -0.2114 -0.4211
1305031226.1333 1.3359 0.6837 1.6162 0.6700 0.5727 -0.2059 -0.4251
1305031226.1433 1.3360 0.6843 1.6162 0.6703 0.5714 -0.2010 -0.4288
1305031226.1533 1.3361 0.6849 1.6162 0.6712 0.5702 -0.1949 -0.4317
1305031226.1633 1.3361 0.6855 1.6160 0.6713 0.5685 -0.1903 -0.4359
1305031226.1734 1.3361 0.6864 1.6161 0.6712 0.5668 -0.1858 -0.4400
1305031226.1834 1.3364 0.6869 1.6161 0.6722 0.5657 -0.1800 -0.4423
1305031226.1933 1.3366 0.6874 1.6162 0.6730 0.5641 -0.1744 -0.4455
1305031226.2033 1.3366 0.6881 1.6162 0.6729 0.5619 -0.1701 -0.4501
1305031226.2133 1.3359 0.6885 1.6164 0.6722 0.5601 -0.1666 -0.4547
1305031226.2233 1.3365 0.6889 1.6164 0.6727 0.5592 -0.1611 -0.4570
1305031226.2333 1.3363 0.6895 1.6163 0.6724 0.5579 -0.1567 -0.4605
1305031226.2433 1.3362 0.6900 1.6163 0.6715 0.5568 -0.1535 -0.4642
1305031226.2534 1.3362 0.6905 1.6162 0.6710 0.5562 -0.1494 -0.4670
1305031226.2633 1.3365 0.6912 1.6160 0.6709 0.5553 -0.1453 -0.4695
1305031226.2734 1.3367 0.6915 1.6160 0.6715 0.5545 -0.1409 -0.4709
1305031226.2833 1.3366 0.6918 1.6161 0.6722 0.5533 -0.1357 -0.4728
1305031226.2933 1.3367 0.6924 1.6160 0.6726 0.5512 -0.1311 -0.4760
1305031226.3033 1.3368 0.6930 1.6159 0.6732 0.5496 -0.1266 -0.4783
1305031226.3133 1.3369 0.6936 1.6158 0.6732 0.5476 -0.1223 -0.4817
1305031226.3233 1.3370 0.6943 1.6157 0.6731 0.5459 -0.1182 -0.4846
1305031226.3334 1.3369 0.6950 1.6156 0.6726 0.5441 -0.1142 -0.4884
1305031226.3433 1.3372 0.6954 1.6154 0.6732 0.5427 -0.1099 -0.4901
1305031226.3533 1.3373 0.6960 1.6153 0.6731 0.5409 -0.1063 -0.4930
1305031226.3633 1.3374 0.6966 1.6152 0.6728 0.5387 -0.1027 -0.4966
1305031226.3734 1.3378 0.6973 1.6152 0.6731 0.5369 -0.0983 -0.4990
1305031226.3833 1.3379 0.6979 1.6153 -0.6731 -0.5343 0.0942 0.5026
1305031226.3933 1.3384 0.6987 1.6151 -0.6740 -0.5313 0.0889 0.5055
1305031226.4033 1.3384 0.6994 1.6150 -0.6733 -0.5287 0.0848 0.5099
1305031226.4133 1.3386 0.6999 1.6147 -0.6742 -0.5264 0.0791 0.5120
1305031226.4233 1.3388 0.7007 1.6145 -0.6746 -0.5249 0.0740 0.5137
1305031226.4333 1.3395 0.7014 1.6144 -0.6762 -0.5222 0.0684 0.5151
1305031226.4433 1.3395 0.7021 1.6143 -0.6764 -0.5198 0.0644 0.5179
1305031226.4533 1.3399 0.7027 1.6143 -0.6767 -0.5173 0.0598 0.5206
1305031226.4633 1.3402 0.7035 1.6143 -0.6764 -0.5147 0.0562 0.5238
1305031226.4733 1.3405 0.7040 1.6146 -0.6766 -0.5110 0.0514 0.5276
1305031226.4833 1.3412 0.7046 1.6146 -0.6766 -0.5083 0.0469 0.5308
1305031226.4934 1.3413 0.7051 1.6149 -0.6759 -0.5054 0.0417 0.5348
1305031226.5033 1.3422 0.7058 1.6145 -0.6760 -0.5007 0.0374 0.5393
1305031226.5133 1.3413 0.7064 1.6151 -0.6735 -0.5016 0.0315 0.5420
1305031226.5433 1.3423 0.7078 1.6147 -0.6735 -0.4969 0.0195 0.5469
1305031226.5533 1.3423 0.7082 1.6146 -0.6723 -0.4957 0.0169 0.5496
1305031226.5633 1.3425 0.7086 1.6147 -0.6715 -0.4944 0.0147 0.5517
